<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.14	2656.06	2666.81	2643.18	2648.73	138607	0	0
2024.10.15	2647.25	2668.90	2638.08	2662.36	164083	0	0
2024.10.16	2661.95	2685.33	2658.67	2673.59	162339	0	0
2024.10.17	2673.23	2696.75	2673.14	2692.74	175912	0	0
2024.10.18	2691.62	2722.45	2691.62	2721.32	174215	0	0
2024.10.21	2719.16	2740.56	2714.23	2719.48	190921	0	0
2024.10.22	2719.14	2748.87	2718.91	2748.66	174851	0	0
2024.10.23	2747.70	2758.43	2708.45	2715.24	193874	0	0
2024.10.24	2715.17	2743.26	2714.70	2735.99	178721	0	0
2024.10.25	2735.51	2747.66	2717.08	2746.80	161452	0	0
2024.10.28	2733.17	2745.97	2724.43	2742.20	200931	0	0
2024.10.29	2741.86	2774.75	2739.88	2774.50	229656	0	0
2024.10.30	2774.20	2789.99	2770.91	2787.51	229816	0	0
2024.10.31	2787.10	2790.11	2731.57	2743.96	232055	0	0
2024.11.01	2742.87	2762.20	2733.23	2736.39	236611	0	0
2024.11.04	2733.50	2748.20	2729.91	2736.33	189270	0	0
2024.11.05	2736.12	2749.94	2724.75	2744.02	192281	0	0
2024.11.06	2743.35	2749.71	2652.33	2659.11	349155	0	0
2024.11.07	2659.74	2710.26	2643.30	2706.17	250322	0	0
2024.11.08	2705.86	2710.40	2680.32	2684.11	215628	0	0
2024.11.11	2684.81	2686.19	2610.68	2618.96	239476	0	0
2024.11.12	2618.65	2627.12	2589.64	2597.95	264410	0	0
2024.11.13	2598.12	2618.55	2572.26	2572.50	254166	0	0
2024.11.14	2574.34	2581.46	2536.81	2564.39	270529	0	0
2024.11.15	2564.41	2576.00	2554.34	2562.94	223503	0	0
2024.11.18	2566.87	2615.09	2563.22	2611.70	227912	0	0
2024.11.19	2611.73	2639.44	2610.43	2631.87	258773	0	0
2024.11.20	2631.77	2655.42	2618.81	2650.25	193699	0	0
2024.11.21	2649.60	2673.51	2648.87	2669.39	180291	0	0
2024.11.22	2668.22	2716.03	2667.90	2715.90	219479	0	0
2024.11.25	2711.75	2721.38	2615.61	2624.78	240619	0	0
2024.11.26	2624.64	2641.94	2605.19	2632.59	219202	0	0
2024.11.27	2632.71	2658.22	2627.06	2636.07	177426	0	0
2024.11.28	2634.98	2649.71	2621.06	2640.77	114417	0	0
2024.11.29	2636.24	2666.25	2633.90	2659.45	166091	0	0
2024.12.02	2653.23	2653.33	2621.87	2638.74	211519	0	0
2024.12.03	2638.56	2655.63	2634.09	2643.43	185654	0	0
2024.12.04	2640.98	2657.08	2632.42	2649.81	183816	0	0
2024.12.05	2649.25	2655.52	2623.58	2631.72	161379	0	0
2024.12.06	2629.63	2645.61	2613.48	2633.16	186415	0	0
2024.12.09	2643.62	2676.40	2627.52	2660.06	190336	0	0
2024.12.10	2659.63	2695.54	2657.94	2693.86	183204	0	0
2024.12.11	2692.88	2721.19	2675.50	2717.75	312188	0	0
2024.12.12	2717.36	2726.16	2675.14	2680.77	317760	0	0
2024.12.13	2680.53	2692.75	2646.12	2648.48	308532	0	0
2024.12.16	2649.19	2664.39	2643.51	2652.78	213998	0	0
2024.12.17	2651.96	2658.64	2633.12	2645.97	222514	0	0
2024.12.18	2645.40	2651.68	2583.59	2584.83	242920	0	0
2024.12.19	2585.37	2626.42	2582.48	2593.83	258879	0	0
2024.12.20	2593.10	2631.99	2589.64	2622.51	231868	0	0
2024.12.23	2619.47	2633.35	2608.14	2613.12	188256	0	0
2024.12.24	2610.31	2621.47	2610.11	2615.91	130504	0	0
2024.12.26	2619.32	2639.08	2614.32	2633.84	153450	0	0
2024.12.27	2632.86	2638.25	2611.61	2620.88	174583	0	0
2024.12.30	2619.30	2628.09	2596.14	2605.32	188500	0	0
2024.12.31	2604.70	2627.48	2602.63	2624.29	158555	0	0
2025.01.02	2625.15	2660.46	2621.64	2658.01	200017	0	0
2025.01.03	2657.66	2665.32	2636.78	2639.05	182838	0	0
2025.01.06	2638.50	2649.50	2614.62	2636.19	248256	0	0
2025.01.07	2636.28	2664.26	2632.08	2648.45	209349	0	0
2025.01.08	2647.77	2669.94	2645.31	2661.61	184965	0	0
2025.01.09	2658.00	2678.17	2655.49	2669.31	142466	0	0
2025.01.10	2669.39	2697.87	2664.03	2688.84	220737	0	0
2025.01.13	2689.41	2693.40	2656.74	2662.91	221989	0	0
2025.01.14	2662.40	2678.00	2659.95	2677.10	208787	0	0
2025.01.15	2675.49	2697.33	2669.30	2695.83	196020	0	0
2025.01.16	2694.48	2724.76	2689.93	2714.43	215711	0	0
2025.01.17	2714.24	2717.36	2699.18	2702.63	185885	0	0
2025.01.20	2701.17	2713.71	2689.34	2708.33	169535	0	0
2025.01.21	2706.24	2745.93	2702.84	2744.79	230290	0	0
2025.01.22	2744.25	2763.38	2741.91	2756.18	205307	0	0
2025.01.23	2756.04	2758.84	2735.97	2754.59	216449	0	0
2025.01.24	2753.00	2786.01	2753.00	2770.59	210782	0	0
2025.01.27	2770.00	2772.61	2730.58	2740.21	232422	0	0
2025.01.28	2738.80	2764.98	2734.78	2763.31	172885	0	0
2025.01.29	2762.87	2766.19	2744.80	2759.38	210913	0	0
2025.01.30	2756.54	2798.44	2756.54	2793.13	210328	0	0
2025.01.31	2794.48	2817.17	2791.08	2797.40	232882	0	0
2025.02.03	2800.58	2830.70	2772.19	2813.52	284640	0	0
2025.02.04	2813.38	2845.37	2807.35	2843.44	250180	0	0
2025.02.05	2842.10	2882.25	2839.77	2863.34	229172	0	0
2025.02.06	2864.75	2873.35	2834.26	2855.87	223391	0	0
2025.02.07	2855.58	2886.86	2852.46	2859.80	217884	0	0
2025.02.10	2856.91	2911.69	2853.75	2907.77	214107	0	0
2025.02.11	2907.46	2942.71	2881.69	2897.35	263395	0	0
2025.02.12	2897.62	2909.17	2864.00	2904.01	223837	0	0
2025.02.13	2903.98	2929.29	2900.62	2927.65	197273	0	0
2025.02.14	2929.76	2940.05	2877.00	2882.72	236014	0	0
2025.02.17	2880.86	2906.44	2878.86	2897.92	155622	0	0
2025.02.18	2898.74	2936.94	2892.00	2935.68	170950	0	0
2025.02.19	2935.34	2946.93	2918.57	2933.23	211183	0	0
2025.02.20	2933.03	2955.00	2924.16	2940.49	204284	0	0
2025.02.21	2938.03	2949.79	2916.78	2936.59	206622	0	0
2025.02.24	2934.28	2956.27	2921.32	2952.57	217962	0	0
2025.02.25	2948.66	2953.65	2888.23	2914.63	252039	0	0
2025.02.26	2912.65	2930.18	2890.91	2916.29	198342	0	0
2025.02.27	2915.86	2920.76	2867.87	2877.08	247769	0	0
2025.02.28	2876.97	2885.13	2832.69	2856.91	259013	0	0
2025.03.03	2855.91	2895.24	2855.20	2891.84	220910	0	0
2025.03.04	2891.75	2927.79	2882.00	2917.24	233035	0	0
2025.03.05	2915.18	2929.94	2894.37	2919.13	255375	0	0
2025.03.06	2916.28	2926.53	2891.31	2911.44	247358	0	0
2025.03.07	2910.57	2930.47	2896.59	2909.59	250314	0	0
2025.03.10	2911.25	2918.29	2880.30	2888.52	227790	0	0
2025.03.11	2887.49	2922.20	2880.28	2915.70	180537	0	0
2025.03.12	2915.13	2940.50	2906.17	2933.65	188356	0	0
2025.03.13	2934.17	2989.03	2932.93	2988.46	196485	0	0
2025.03.14	2986.83	3004.95	2978.51	2984.10	195684	0	0
2025.03.17	2984.15	3001.85	2982.28	3000.91	154277	0	0
2025.03.18	3001.18	3038.28	2999.42	3034.39	177919	0	0
2025.03.19	3032.47	3051.88	3022.74	3047.16	165264	0	0
2025.03.20	3047.14	3057.55	3025.76	3044.44	165951	0	7
2025.03.21	3044.14	3047.46	2999.34	3023.18	154720	0	7
2025.03.24	3019.72	3033.37	3002.48	3011.26	184935	0	0
2025.03.25	3011.24	3035.89	3007.49	3019.37	149578	0	0
2025.03.26	3017.97	3032.03	3012.42	3019.43	147388	0	0
2025.03.27	3017.77	3059.63	3017.60	3056.13	194524	0	0
2025.03.28	3055.08	3086.71	3054.18	3084.71	184913	0	0
2025.03.31	3086.16	3127.90	3076.64	3123.27	211024	0	2
2025.04.01	3122.37	3148.90	3100.86	3113.93	214343	0	14
2025.04.02	3114.04	3145.12	3105.20	3133.79	191184	0	14
2025.04.03	3139.31	3167.67	3054.18	3114.61	304206	0	14
2025.04.04	3114.13	3136.45	3015.75	3036.50	255749	0	14
2025.04.07	3000.91	3055.36	2956.56	2982.35	306465	0	0
2025.04.08	2981.10	3022.61	2974.74	2982.46	223583	0	14
2025.04.09	2981.97	3099.46	2969.88	3081.87	316790	0	14
2025.04.10	3080.65	3176.29	3071.38	3175.23	276479	0	14
2025.04.11	3175.10	3245.34	3174.50	3236.95	291362	0	11
2025.04.14	3228.69	3245.71	3193.61	3210.41	230913	0	16
2025.04.15	3208.87	3233.56	3208.87	3230.16	166758	0	15
2025.04.16	3229.23	3343.27	3229.04	3342.71	249250	0	14
2025.04.17	3341.49	3357.69	3283.94	3326.57	243728	0	16
2025.04.21	3331.83	3430.48	3327.55	3423.83	245151	0	17
2025.04.22	3423.04	3500.05	3366.84	3379.94	327871	0	17
2025.04.23	3351.09	3386.61	3260.14	3288.01	312679	0	16
2025.04.24	3287.06	3367.49	3287.06	3348.58	246490	0	14
2025.04.25	3348.86	3370.71	3265.04	3319.11	246024	0	14
2025.04.28	3323.71	3352.97	3267.85	3343.70	223866	0	14
2025.04.29	3342.77	3348.53	3299.68	3317.14	194448	0	14
2025.04.30	3310.62	3328.05	3266.89	3288.87	214497	0	14
2025.05.01	3288.51	3290.03	3201.93	3238.58	214441	0	14
2025.05.02	3238.25	3269.21	3222.87	3239.61	218107	0	14
2025.05.05	3237.11	3337.58	3237.11	3333.00	208025	0	8
2025.05.06	3336.24	3434.91	3322.00	3431.18	253337	0	8
2025.05.07	3437.02	3438.33	3360.17	3364.42	252292	0	8
2025.05.08	3364.74	3414.72	3288.73	3305.03	256548	0	14
2025.05.09	3303.69	3347.47	3274.69	3324.00	222983	0	14
2025.05.12	3286.38	3292.41	3207.79	3236.33	275401	0	6
2025.05.13	3234.10	3265.57	3215.85	3249.93	209891	0	14
2025.05.14	3248.18	3257.03	3168.00	3177.09	245093	0	14
2025.05.15	3176.34	3243.13	3120.72	3239.69	239945	0	14
2025.05.16	3239.09	3252.09	3154.23	3202.27	232634	0	8
2025.05.19	3216.86	3249.72	3205.26	3229.39	200826	0	8
2025.05.20	3228.96	3295.60	3204.70	3289.69	210277	0	8
2025.05.21	3289.22	3324.80	3285.35	3314.82	226077	0	8
2025.05.22	3310.97	3345.39	3279.08	3294.85	251160	0	8
2025.05.23	3294.33	3365.91	3287.07	3357.70	237079	0	8
2025.05.26	3357.77	3357.88	3323.65	3341.43	125591	0	8
2025.05.27	3341.39	3349.92	3285.36	3300.48	207001	0	8
2025.05.28	3299.74	3325.46	3274.94	3286.96	196442	0	8
2025.05.29	3286.39	3331.10	3245.48	3317.68	233503	0	8
2025.05.30	3316.60	3322.64	3271.40	3289.05	203432	0	8
2025.06.02	3298.50	3382.81	3295.81	3381.23	206757	0	8
2025.06.03	3381.58	3392.10	3333.03	3353.17	191567	0	8
2025.06.04	3352.93	3384.62	3343.78	3372.41	188706	0	8
2025.06.05	3374.80	3403.50	3339.52	3352.42	234861	0	8
2025.06.06	3353.33	3375.53	3307.07	3309.85	222928	0	8
2025.06.09	3312.09	3338.19	3293.59	3325.32	182703	0	8
2025.06.10	3323.94	3349.12	3301.85	3323.26	190541	0	8
2025.06.11	3323.00	3360.60	3315.45	3354.99	205487	0	8
2025.06.12	3356.22	3398.89	3338.57	3385.60	227101	0	8
2025.06.13	3385.14	3446.65	3379.78	3432.27	228390	0	0
2025.06.16	3446.03	3451.55	3382.85	3384.21	189508	0	2
2025.06.17	3385.79	3403.24	3366.10	3387.62	201722	0	2
2025.06.18	3385.20	3399.92	3362.54	3368.65	188353	0	2
2025.06.19	3370.39	3387.87	3347.61	3372.84	143933	0	11
2025.06.20	3367.96	3374.44	3340.30	3368.12	162315	0	11
2025.06.23	3385.07	3396.73	3346.94	3367.96	199313	0	15
2025.06.24	3363.15	3369.90	3295.32	3323.45	203892	0	11
2025.06.25	3323.55	3337.13	3311.73	3332.48	142952	0	15
2025.06.26	3333.35	3350.22	3309.82	3328.10	161927	0	11
2025.06.27	3327.23	3327.91	3255.79	3273.97	201185	0	9
2025.06.30	3272.79	3309.47	3245.07	3302.76	156259	0	2
2025.07.01	3303.34	3357.96	3302.36	3337.86	171181	0	11
2025.07.02	3335.34	3360.03	3327.57	3357.46	142727	0	2
2025.07.03	3356.74	3365.68	3311.55	3325.58	138030	0	11
2025.07.04	3323.30	3345.05	3323.30	3335.48	79623	0	11
2025.07.07	3334.23	3342.75	3296.43	3336.77	166532	0	8
2025.07.08	3337.31	3345.82	3287.13	3301.31	149130	0	11
2025.07.09	3301.48	3316.82	3282.63	3313.30	132455	0	0
2025.07.10	3313.38	3330.26	3310.06	3323.62	122722	0	17
2025.07.11	3324.00	3368.73	3321.84	3354.94	156439	0	17
2025.07.14	3363.93	3374.91	3340.98	3343.04	154945	0	17
2025.07.15	3342.83	3366.36	3320.22	3323.51	142863	0	17
2025.07.16	3324.26	3377.45	3319.68	3346.49	160075	0	17
2025.07.17	3346.15	3352.18	3309.76	3338.63	141046	0	17
2025.07.18	3337.76	3361.17	3331.75	3349.19	123281	0	17
2025.07.21	3349.36	3401.45	3344.97	3396.46	139074	0	17
2025.07.22	3397.11	3433.44	3383.32	3430.98	151400	0	17
2025.07.23	3431.91	3438.77	3381.55	3386.70	179178	0	17
2025.07.24	3387.71	3393.35	3351.37	3367.97	155153	0	17
2025.07.25	3368.08	3373.47	3324.99	3336.40	131191	0	17
2025.07.28	3320.23	3345.29	3301.72	3313.95	142551	0	17
2025.07.29	3313.63	3334.10	3308.00	3325.81	151438	0	16
2025.07.30	3326.86	3334.00	3268.06	3274.91	153790	0	15
2025.07.31	3276.51	3314.77	3273.86	3289.81	154728	0	12
2025.08.01	3289.63	3363.14	3281.57	3362.45	183405	0	15
2025.08.04	3362.58	3385.44	3345.00	3373.46	156538	0	14
2025.08.05	3374.01	3390.42	3349.93	3380.50	143477	0	15
2025.08.06	3380.31	3385.31	3358.19	3368.62	140578	0	15
2025.08.07	3368.71	3401.81	3365.34	3396.94	209939	0	11
2025.08.08	3400.08	3409.32	3376.96	3398.91	295649	0	12
2025.08.11	3397.41	3405.72	3341.10	3342.61	193153	0	14
2025.08.12	3342.99	3359.05	3331.10	3348.00	172596	0	15
2025.08.13	3348.10	3370.75	3342.68	3355.80	141139	0	15
2025.08.14	3357.52	3374.68	3329.81	3335.41	177313	0	14
2025.08.15	3333.90	3348.73	3332.21	3335.94	137166	0	15
2025.08.18	3335.61	3358.37	3323.51	3332.71	128665	0	15
2025.08.19	3332.96	3345.27	3314.89	3315.95	120845	0	15
2025.08.20	3316.19	3350.17	3311.53	3347.85	123291	0	15
2025.08.21	3349.89	3352.22	3325.14	3338.67	118609	0	14
2025.08.22	3339.57	3378.75	3321.43	3372.28	131883	0	15
2025.08.25	3371.22	3376.24	3359.73	3366.05	94446	0	14
2025.08.26	3365.32	3393.81	3351.26	3393.76	155311	0	12
2025.08.27	3393.63	3398.80	3373.72	3397.22	137745	0	14
2025.08.28	3399.32	3423.14	3384.56	3416.69	150616	0	15
2025.08.29	3417.88	3453.95	3404.23	3447.14	167767	0	14
2025.09.01	3448.37	3489.83	3437.07	3476.44	156494	0	15
2025.09.02	3477.46	3540.02	3470.04	3532.80	250217	0	15
2025.09.03	3533.38	3578.46	3526.23	3559.34	223750	0	15
2025.09.04	3559.95	3564.05	3511.54	3545.66	211939	0	15
2025.09.05	3547.66	3600.07	3540.11	3585.91	221042	0	15
2025.09.08	3581.35	3646.44	3577.97	3635.85	211213	0	14
2025.09.09	3635.51	3674.77	3625.24	3625.50	221680	0	15
2025.09.10	3626.33	3657.58	3619.03	3640.50	190145	0	15
2025.09.11	3641.97	3649.01	3612.73	3633.85	186826	0	14
2025.09.12	3633.16	3656.63	3630.50	3643.00	156704	0	14
2025.09.15	3642.21	3685.58	3626.49	3678.78	165100	0	14
2025.09.16	3680.13	3703.12	3674.61	3689.75	186547	0	14
2025.09.17	3690.61	3707.51	3645.96	3659.72	224744	0	15
2025.09.18	3658.63	3672.93	3628.01	3644.51	201413	0	14
2025.09.19	3642.12	3685.45	3632.29	3684.95	175997	0	14
2025.09.22	3685.49	3748.75	3683.64	3746.38	191821	0	14
2025.09.23	3745.76	3791.09	3736.64	3764.17	233238	0	15
2025.09.24	3764.72	3779.20	3717.53	3736.08	198247	0	11
2025.09.25	3735.96	3761.60	3722.13	3749.26	220323	0	15
2025.09.26	3748.38	3783.71	3734.50	3760.23	202742	0	15
2025.09.29	3758.40	3834.20	3756.12	3833.26	253513	0	14
2025.09.30	3829.04	3871.74	3793.13	3858.59	247460	0	14
2025.10.01	3859.08	3895.33	3853.25	3865.56	238392	0	14
2025.10.02	3867.25	3896.74	3819.32	3856.35	208922	0	14
2025.10.03	3856.22	3891.63	3838.03	3886.67	195972	0	14
2025.10.06	3887.72	3970.02	3884.31	3960.14	262194	0	14
2025.10.07	3959.28	3991.00	3940.82	3984.62	277070	0	14
2025.10.08	3984.75	4059.15	3983.26	4040.44	267538	0	14
2025.10.09	4042.51	4057.94	3944.68	3976.45	302686	0	14
2025.10.10	3975.26	4022.91	3947.11	4018.70	329769	0	14
2025.10.13	4000.62	4117.00	3995.05	4110.48	278298	0	15
2025.10.14	4110.72	4179.62	4090.01	4142.15	345154	0	15
2025.10.15	4142.04	4218.26	4140.78	4207.89	276520	0	14
2025.10.16	4208.91	4330.60	4200.04	4328.23	283701	0	14
2025.10.17	4332.94	4379.77	4186.10	4251.15	424767	0	14
2025.10.20	4253.21	4381.32	4218.87	4356.10	337958	0	14
2025.10.21	4354.95	4375.37	4081.88	4126.05	392656	0	8
2025.10.22	4123.88	4161.28	4004.65	4098.36	401279	0	14
2025.10.23	4095.97	4154.72	4066.08	4126.00	306254	0	14
2025.10.24	4125.68	4144.43	4044.20	4112.57	284871	0	14
2025.10.27	4077.89	4109.19	3971.52	3981.11	326172	0	14
2025.10.28	3982.06	4019.63	3886.61	3950.92	309247	0	8
2025.10.29	3950.30	4030.14	3916.28	3929.34	325738	0	12
2025.10.30	3929.51	4026.96	3915.46	4024.88	337701	0	14
2025.10.31	4025.41	4046.20	3972.16	4002.10	308330	0	14
2025.11.03	3989.80	4030.56	3962.58	4001.51	266878	0	14
2025.11.04	4000.91	4005.75	3928.74	3932.32	275127	0	14
2025.11.05	3931.57	3990.35	3929.48	3979.80	221347	0	14
2025.11.06	3980.92	4019.56	3964.53	3977.02	224033	0	14
2025.11.07	3977.72	4027.43	3974.50	4000.39	212301	0	14
2025.11.10	3999.50	4116.42	3997.76	4115.72	242285	0	14
2025.11.11	4114.30	4148.97	4097.07	4126.79	232705	0	14
2025.11.12	4126.84	4211.70	4098.85	4195.33	297008	0	14
2025.11.13	4194.61	4244.98	4145.38	4171.10	330274	0	14
2025.11.14	4170.23	4211.21	4032.22	4083.08	347172	0	12
2025.11.17	4085.71	4107.58	4006.89	4044.80	298146	0	12
2025.11.18	4042.84	4082.32	3998.02	4067.27	302410	0	12
2025.11.19	4067.02	4132.77	4055.63	4077.81	299596	0	12
2025.11.20	4077.48	4110.20	4038.92	4076.84	330624	0	12
2025.11.21	4075.04	4100.98	4022.47	4065.40	335062	0	12
2025.11.24	4072.04	4139.92	4040.05	4135.57	251654	0	12
2025.11.25	4133.30	4159.25	4109.61	4130.73	275689	0	12
2025.11.26	4130.50	4173.41	4128.62	4163.15	226294	0	12
2025.11.27	4161.49	4168.71	4142.64	4157.95	156772	0	14
2025.11.28	4156.75	4226.86	4146.14	4220.11	156415	0	12
2025.12.01	4222.00	4264.52	4205.60	4231.21	325604	0	14
2025.12.02	4229.45	4235.93	4163.39	4206.21	262348	0	12
2025.12.03	4204.88	4241.65	4194.52	4203.22	288303	0	12
2025.12.04	4203.52	4219.35	4174.95	4207.94	278933	0	14
2025.12.05	4206.98	4259.26	4192.04	4197.61	263000	0	14
2025.12.08	4196.66	4218.88	4176.21	4190.44	211337	0	12
2025.12.09	4189.99	4221.26	4170.02	4207.57	231247	0	12
2025.12.10	4205.69	4238.76	4181.93	4227.55	212360	0	14
2025.12.11	4225.86	4285.91	4204.36	4279.91	230549	0	14
2025.12.12	4279.77	4353.50	4257.75	4299.64	267089	0	12
2025.12.15	4300.00	4350.33	4285.23	4305.23	232652	0	14
2025.12.16	4305.11	4335.14	4271.50	4302.54	231709	0	14
2025.12.17	4303.04	4349.57	4301.47	4337.91	221917	0	12
2025.12.18	4338.15	4374.57	4308.87	4332.61	218765	0	14
2025.12.19	4332.69	4356.52	4309.31	4338.26	196961	0	14
2025.12.22	4339.50	4449.26	4338.10	4443.65	188428	0	14
2025.12.23	4446.72	4499.78	4430.28	4485.14	256065	0	12
2025.12.24	4484.64	4525.66	4448.38	4482.06	235570	0	14
2025.12.26	4492.96	4549.81	4479.70	4533.09	260011	0	12
2025.12.29	4540.51	4549.74	4302.91	4332.31	299541	0	12
2025.12.30	4333.41	4404.17	4323.54	4338.24	275569	0	12
2025.12.31	4338.51	4373.11	4274.71	4318.03	255879	0	12
2026.01.02	4325.71	4402.30	4309.91	4332.60	227226	0	14
2026.01.05	4361.25	4455.76	4345.01	4448.65	263680	0	8
2026.01.06	4448.94	4497.34	4427.96	4494.98	235118	0	12
2026.01.07	4495.71	4500.55	4423.42	4457.13	246390	0	14
2026.01.08	4458.63	4479.43	4407.71	4478.12	253021	0	14
2026.01.09	4479.68	4517.08	4452.92	4509.52	227536	0	12
2026.01.12	4518.86	4630.18	4512.70	4598.69	260805	0	12
2026.01.13	4604.66	4634.63	4569.71	4586.89	245558	0	12
2026.01.14	4587.90	4642.87	4587.90	4626.25	246232	0	12
2026.01.15	4630.33	4632.51	4581.14	4617.23	249378	0	12
2026.01.16	4615.13	4620.70	4536.55	4597.09	213458	0	14
2026.01.19	4628.83	4690.80	4620.27	4674.52	149507	0	12
2026.01.20	4672.80	4766.31	4659.49	4763.14	225204	0	14
2026.01.21	4761.88	4888.30	4755.44	4833.02	247477	0	14
2026.01.22	4835.58	4940.68	4772.31	4935.97	215375	0	12
2026.01.23	4937.23	4990.16	4899.94	4983.03	224441	0	14
2026.01.26	5002.48	5111.02	4990.07	5009.84	275250	0	14
2026.01.27	5011.77	5190.29	5011.77	5178.32	267847	0	14
2026.01.28	5178.36	5422.68	5157.37	5414.38	321442	0	14
