<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.07	21546.83	21567.93	21042.66	21135.08	0	0	0
2025.01.08	21141.61	21212.83	20931.31	21094.48	0	0	0
2025.01.09	21092.94	21115.44	20986.29	21060.92	0	0	0
2025.01.10	21068.93	21143.78	20647.51	20766.93	0	0	0
2025.01.13	20765.15	20819.28	20477.75	20769.15	0	0	0
2025.01.14	20808.59	20930.07	20560.92	20764.22	0	0	0
2025.01.15	20758.30	21243.00	20699.53	21165.18	0	0	0
2025.01.16	21179.40	21359.75	20966.52	21007.02	0	0	0
2025.01.17	21017.23	21476.71	21006.86	21381.11	0	0	0
2025.01.20	21422.96	21586.29	21336.59	21510.41	0	0	0
2025.01.21	21525.55	21595.92	21192.42	21584.42	0	0	0
2025.01.22	21612.87	21909.57	21587.37	21794.62	0	0	0
2025.01.23	21794.21	21869.66	21676.06	21843.08	0	0	0
2025.01.24	21833.78	21901.98	21668.11	21730.66	0	0	0
2025.01.27	21566.82	21570.57	20599.67	21135.32	0	0	0
2025.01.28	21176.16	21464.36	21000.24	21394.79	0	0	0
2025.01.29	21384.25	21539.22	21211.32	21422.62	0	0	0
2025.01.30	21401.07	21594.90	21266.27	21448.20	0	0	0
2025.01.31	21521.30	21813.25	21382.55	21402.18	0	0	0
2025.02.03	20867.94	21435.19	20810.69	21410.19	0	0	0
2025.02.04	21457.38	21556.83	21106.00	21444.50	0	0	0
2025.02.05	21424.86	21661.61	21296.96	21632.48	0	0	0
2025.02.06	21628.21	21751.91	21576.81	21708.96	0	0	0
2025.02.07	21693.39	21840.21	21427.84	21449.01	0	0	0
2025.02.10	21348.43	21775.00	21344.68	21716.68	0	0	0
2025.02.11	21702.15	21755.72	21554.37	21679.77	0	0	0
2025.02.12	21693.25	21750.25	21398.98	21745.25	0	0	0
2025.02.13	21749.09	22015.41	21645.19	21973.46	0	0	0
2025.02.14	21974.34	22113.79	21935.44	22094.34	0	0	0
2025.02.17	22123.63	22185.38	22096.83	22137.83	0	0	0
2025.02.18	22138.63	22226.61	22011.08	22128.63	0	0	0
2025.02.19	22154.20	22210.52	22029.52	22135.95	0	0	0
2025.02.20	22131.58	22145.46	21862.16	22048.21	0	0	0
2025.02.21	22040.36	22159.08	21566.36	21572.86	0	0	0
2025.02.24	21623.86	21736.58	21331.93	21350.73	0	0	0
2025.02.25	21370.93	21379.80	20919.00	21117.80	0	0	0
2025.02.26	21164.06	21340.38	20996.26	21201.18	0	0	0
2025.02.27	21172.03	21321.00	20518.15	20564.28	0	0	0
2025.02.28	20589.06	20880.13	20396.38	20846.56	0	0	0
2025.03.03	20929.87	21067.72	20265.45	20472.25	0	0	0
2025.03.04	20456.01	20682.71	20026.46	20487.26	0	0	0
2025.03.05	20498.00	20678.07	20170.82	20565.87	0	0	0
2025.03.06	20564.15	20602.65	19958.73	20137.65	0	0	0
2025.03.07	20169.55	20241.00	19722.88	20162.30	0	0	0
2025.03.10	20061.62	20119.75	19238.57	19441.00	0	0	0
2025.03.11	19391.34	19656.16	19115.09	19364.59	0	0	0
2025.03.12	19403.30	19759.47	19360.77	19543.92	0	0	0
2025.03.13	19560.70	19670.20	19147.02	19272.70	0	0	0
2025.03.14	19285.08	19719.78	19282.58	19645.83	0	0	0
2025.03.17	19651.04	19947.49	19540.16	19817.16	0	0	0
2025.03.18	19824.12	19851.25	19391.20	19488.25	0	0	0
2025.03.19	19486.60	19929.67	19448.07	19733.47	0	0	0
2025.03.20	19746.61	19892.68	19523.83	19686.73	0	0	0
2025.03.21	19688.57	19767.82	19394.67	19761.69	0	0	0
2025.03.24	19861.81	20207.26	19855.31	20156.94	0	0	0
2025.03.25	20164.76	20325.76	20095.11	20314.64	0	0	0
2025.03.26	20318.95	20340.83	19849.65	19888.95	0	0	0
2025.03.27	19852.52	20005.84	19745.72	19809.39	0	0	0
2025.03.28	19803.54	19819.91	19176.41	19178.79	0	0	0
2025.03.31	19150.43	19304.88	18793.38	19228.18	315339	0	40
2025.04.01	19231.64	19462.21	19080.71	19414.39	297945	0	40
2025.04.02	19419.76	19863.89	18899.76	18996.26	291300	0	40
2025.04.03	18845.54	18997.02	18435.42	18469.92	319223	0	40
2025.04.04	18490.52	18536.39	17210.64	17316.02	367584	0	40
2025.04.07	16753.91	18160.48	16289.58	17461.53	363175	0	0
2025.04.08	17506.75	18189.33	16808.20	17058.50	346301	0	40
2025.04.09	17062.85	19219.92	16574.72	19185.97	352019	0	40
2025.04.10	19162.00	19222.63	17760.95	18333.75	382175	0	40
2025.04.11	18363.63	18714.96	17914.63	18651.26	345089	0	40
2025.04.14	18973.91	19105.71	18588.94	18760.86	309640	0	40
2025.04.15	18744.83	18996.78	18663.33	18786.46	280924	0	40
2025.04.16	18578.54	18714.89	17972.12	18225.04	306605	0	40
2025.04.17	18264.23	18509.46	18120.06	18289.73	296903	0	40
2025.04.21	18202.63	18248.76	17570.33	17779.88	230417	0	40
2025.04.22	17796.84	18384.92	17736.47	18228.22	267793	0	40
2025.04.23	18554.92	19039.37	18498.92	18734.92	303073	0	40
2025.04.24	18709.39	19279.51	18472.11	19226.76	272732	0	40
2025.04.25	19269.25	19467.87	19096.10	19430.87	274483	0	40
2025.04.28	19388.52	19509.85	19145.85	19366.40	228211	0	40
2025.04.29	19364.70	19577.65	19269.68	19512.08	250263	0	40
2025.04.30	19479.23	19768.11	18995.78	19741.86	271347	0	40
2025.05.01	19735.07	20018.77	19651.69	19694.32	250190	0	40
2025.05.02	19675.97	20172.29	19645.59	20094.09	269381	0	40
2025.05.05	20093.39	20095.01	19872.24	19936.76	225095	0	40
2025.05.06	19930.93	19942.43	19645.76	19757.43	242141	0	40
2025.05.07	19830.90	20037.65	19588.10	19866.90	276147	0	40
2025.05.08	19843.11	20248.81	19823.24	20070.74	252289	0	40
2025.05.09	20086.67	20201.90	19972.25	20054.05	234872	0	40
2025.05.12	20376.92	20914.87	20296.92	20875.80	260693	0	40
2025.05.13	20868.26	21267.96	20740.26	21176.76	224088	0	40
2025.05.14	21179.35	21342.93	21162.33	21324.10	226199	0	40
2025.05.15	21300.09	21452.29	21114.82	21322.84	225489	0	40
2025.05.16	21306.60	21432.55	21241.67	21329.35	192888	0	40
2025.05.19	21226.91	21472.86	21041.63	21444.66	234305	0	40
2025.05.20	21431.60	21493.10	21230.05	21344.98	211711	0	40
2025.05.21	21338.69	21492.01	21006.89	21081.94	248176	0	40
2025.05.22	21080.70	21272.78	20976.43	21145.83	246680	0	40
2025.05.23	21168.68	21173.05	20666.03	20884.68	253310	0	40
2025.05.26	20912.21	21253.29	20901.09	21235.29	103722	0	40
2025.05.27	21226.65	21437.23	21091.03	21426.53	193071	0	40
2025.05.28	21422.29	21515.99	21283.87	21469.92	194693	0	40
2025.05.29	21446.95	21813.05	21256.53	21336.45	278885	0	40
2025.05.30	21315.35	21387.68	21026.93	21317.85	254432	0	40
2025.06.02	21284.37	21538.87	21125.97	21515.49	226653	0	40
2025.06.03	21514.80	21725.12	21364.90	21654.80	198492	0	40
2025.06.04	21660.44	21768.39	21608.14	21715.82	194868	0	40
2025.06.05	21709.10	21896.30	21472.68	21490.23	230068	0	40
2025.06.06	21449.31	21838.26	21449.31	21777.19	215621	0	40
2025.06.09	21788.46	21862.91	21691.96	21794.71	177181	0	40
2025.06.10	21805.27	21969.97	21710.50	21929.52	207184	0	40
2025.06.11	21930.51	22071.99	21771.71	21865.64	218063	0	40
2025.06.12	21842.01	21960.58	21701.48	21893.63	207394	0	40
2025.06.13	21887.80	21889.80	21455.55	21636.68	275859	0	40
2025.06.16	21562.09	21988.24	21528.84	21927.92	195024	0	40
2025.06.17	21936.22	21942.85	21679.92	21720.97	237436	0	40
2025.06.18	21696.01	21867.59	21635.51	21743.64	204682	0	40
2025.06.19	21731.66	21735.54	21426.36	21477.99	118818	0	40
2025.06.20	21555.08	21905.28	21540.41	21649.46	223957	0	40
2025.06.23	21388.90	21876.55	21387.90	21854.23	230668	0	40
2025.06.24	21860.87	22234.44	21853.24	22196.24	193539	0	40
2025.06.25	22188.79	22337.62	22175.67	22257.42	163552	0	40
2025.06.26	22249.43	22485.13	22230.81	22463.06	158059	0	40
2025.06.27	22470.37	22615.32	22395.07	22537.37	174561	0	40
2025.06.30	22580.06	22734.88	22560.06	22673.43	164644	0	40
2025.07.01	22672.33	22719.96	22401.28	22492.08	183744	0	40
2025.07.02	22501.81	22663.06	22391.66	22658.56	166539	0	40
2025.07.03	22650.43	22908.13	22634.68	22866.38	112394	0	40
2025.07.04	22862.60	22871.97	22692.20	22716.55	88161	0	40
2025.07.07	22796.13	22844.50	22599.95	22656.00	192482	0	40
2025.07.08	22669.44	22793.29	22631.31	22722.56	167858	0	40
2025.07.09	22739.72	22935.67	22668.45	22866.47	152509	0	40
2025.07.10	22860.86	22916.83	22729.43	22835.98	148983	0	40
2025.07.11	22839.70	22878.32	22661.57	22771.57	187167	0	40
2025.07.14	22665.68	22905.00	22644.03	22876.43	159136	0	40
2025.07.15	22862.45	23064.18	22839.08	22860.70	191773	0	40
2025.07.16	22868.59	22944.17	22681.17	22905.09	184307	0	40
2025.07.17	22911.46	23124.66	22864.46	23114.71	152080	0	40
2025.07.18	23097.76	23170.61	23023.58	23075.76	142100	0	40
2025.07.21	23056.84	23267.05	23031.84	23187.80	71101	0	40
2025.07.22	23178.41	23209.46	22949.66	23037.01	104323	0	40
2025.07.23	23035.33	23265.95	22996.95	23256.85	114582	0	40
2025.07.24	23245.52	23272.60	23149.40	23245.18	94317	0	40
2025.07.25	23242.76	23329.30	23182.95	23296.48	75912	0	40
2025.07.28	23382.38	23441.20	23296.03	23367.38	86761	0	40
2025.07.29	23368.40	23515.60	23288.85	23317.30	97286	0	40
2025.07.30	23317.56	23554.25	23226.10	23527.10	114959	0	40
2025.07.31	23568.70	23713.45	23175.55	23197.55	158775	0	40
2025.08.01	23185.21	23213.45	22661.75	22743.00	218146	0	40
2025.08.04	22736.21	23238.15	22703.90	23237.65	128389	0	40
2025.08.05	23236.14	23291.68	22973.33	22974.08	142158	0	40
2025.08.06	22987.71	23340.45	22935.41	23308.25	136643	0	40
2025.08.07	23316.31	23560.55	23222.75	23408.90	164690	0	40
2025.08.08	23421.33	23663.40	23398.85	23662.50	104387	0	40
2025.08.11	23652.02	23700.75	23484.30	23522.55	105469	0	40
2025.08.12	23531.56	23850.65	23491.75	23847.85	120059	0	40
2025.08.13	23836.95	23967.65	23785.58	23826.05	104796	0	40
2025.08.14	23838.60	23905.65	23696.70	23786.93	120880	0	40
2025.08.15	23783.36	23862.30	23634.20	23696.15	114354	0	40
2025.08.18	23715.33	23792.20	23627.80	23702.25	103998	0	40
2025.08.19	23709.83	23750.26	23343.10	23385.73	126463	0	40
2025.08.20	23381.10	23402.26	22956.35	23236.80	165588	0	40
2025.08.21	23238.61	23287.80	23037.05	23139.20	153480	0	40
2025.08.22	23147.03	23572.30	22997.50	23502.75	139975	0	40
2025.08.25	23515.83	23544.80	23373.05	23433.40	105066	0	40
2025.08.26	23435.83	23545.10	23305.50	23541.80	121741	0	40
2025.08.27	23541.11	23592.45	23424.25	23476.10	93172	0	40
2025.08.28	23481.46	23744.45	23427.48	23702.85	116535	0	40
2025.08.29	23700.28	23701.90	23341.45	23398.88	128785	0	40
2025.09.01	23439.86	23504.41	23324.85	23450.80	46876	0	40
2025.09.02	23453.58	23453.58	22978.20	23327.00	171758	0	40
2025.09.03	23341.66	23478.60	23252.80	23408.95	141669	0	40
2025.09.04	23411.58	23653.05	23365.65	23640.80	115759	0	40
2025.09.05	23658.85	23856.30	23460.40	23628.85	159093	0	40
2025.09.08	23650.04	23851.00	23613.56	23758.45	111618	0	40
2025.09.09	23765.20	23879.78	23691.25	23855.18	107625	0	40
2025.09.10	23866.81	24006.65	23754.05	23829.75	117633	0	40
2025.09.11	23825.06	24013.85	23824.66	23976.20	108057	0	40
2025.09.12	23993.36	24126.53	23937.78	24078.83	88739	0	40
2025.09.15	24097.06	24298.40	24057.78	24281.50	214352	0	40
2025.09.16	24271.55	24386.35	24239.33	24271.05	241781	0	40
2025.09.17	24280.95	24302.60	23992.33	24245.80	271416	0	40
2025.09.18	24252.10	24566.45	24246.58	24468.10	306543	0	40
2025.09.19	24466.95	24637.30	24404.80	24608.30	288423	0	40
2025.09.22	24607.33	24780.80	24502.45	24749.60	274221	0	40
2025.09.23	24754.40	24782.95	24537.70	24593.80	269649	0	40
2025.09.24	24600.75	24670.33	24386.30	24502.70	271981	0	40
2025.09.25	24509.75	24553.00	24183.50	24398.33	320751	0	40
2025.09.26	24397.30	24511.90	24285.00	24491.55	334174	0	40
2025.09.29	24506.05	24746.60	24500.50	24589.30	280396	0	40
2025.09.30	24590.70	24689.53	24506.23	24616.78	206434	0	40
2025.10.01	24621.38	24814.23	24413.08	24787.78	170708	0	40
2025.10.02	24790.78	24964.83	24779.13	24895.78	149241	0	40
2025.10.03	24886.08	24986.38	24715.73	24774.98	151206	0	40
2025.10.06	24818.58	25045.63	24807.68	24973.38	160730	0	40
2025.10.07	24978.78	25068.43	24779.93	24855.38	159448	0	40
2025.10.08	24855.88	25161.23	24825.43	25151.18	142977	0	40
2025.10.09	25144.98	25193.63	24965.93	25087.48	147862	0	40
2025.10.10	25099.08	25199.83	23970.78	23990.38	197180	0	40
2025.10.13	24546.98	24781.93	24436.38	24724.88	229393	0	40
2025.10.14	24736.78	24866.58	24246.03	24572.83	265203	0	40
2025.10.15	24586.98	24940.03	24490.63	24772.93	221666	0	40
2025.10.16	24766.48	25006.63	24472.33	24618.03	231244	0	40
2025.10.17	24631.98	24885.03	24242.68	24863.98	276068	0	40
2025.10.20	24924.28	25187.03	24792.68	25153.98	191422	0	40
2025.10.21	25159.98	25203.38	25038.93	25102.48	182536	0	40
2025.10.22	25112.38	25176.63	24644.23	24879.38	237766	0	40
2025.10.23	24855.48	25138.43	24782.48	25118.78	212345	0	40
2025.10.24	25131.98	25419.63	25131.48	25366.38	165802	0	40
2025.10.27	25608.98	25866.28	25554.38	25858.08	154451	0	40
2025.10.28	25852.28	26086.43	25800.03	26026.73	160839	0	40
2025.10.29	26039.23	26234.58	25906.43	26085.18	200481	0	40
2025.10.30	26060.88	26259.23	25714.78	26004.28	302848	0	40
2025.10.31	26032.18	26136.53	25753.33	25847.58	240167	0	40
2025.11.03	25893.38	26131.23	25883.23	25976.48	214336	0	40
2025.11.04	25958.58	25967.83	25393.83	25448.53	279105	0	40
2025.11.05	25441.28	25750.93	25157.38	25605.08	280462	0	40
2025.11.06	25625.68	25698.53	25078.43	25193.68	287837	0	40
2025.11.07	25171.18	25243.38	24600.33	25114.93	316296	0	40
2025.11.10	25270.18	25656.23	25163.68	25616.28	237768	0	40
2025.11.11	25633.98	25667.83	25379.43	25553.28	244687	0	40
2025.11.12	25561.78	25726.13	25385.33	25524.33	242929	0	40
2025.11.13	25527.68	25621.03	24902.73	24982.33	308311	0	40
2025.11.14	25001.58	25198.93	24530.73	25048.73	345397	0	40
2025.11.17	25043.98	25274.48	24645.43	24818.83	316401	0	40
2025.11.18	24818.78	24873.48	24294.78	24442.98	378264	0	40
2025.11.19	24479.18	24903.33	24363.58	24872.18	353483	0	40
2025.11.20	24895.08	25223.73	23988.78	24002.08	361071	0	40
2025.11.21	24032.68	24521.83	23830.38	24273.08	404892	0	40
2025.11.24	24460.58	24920.33	24293.18	24891.48	291999	0	40
2025.11.25	24907.88	25067.63	24532.63	24996.48	290374	0	40
2025.11.26	25002.18	25312.33	24995.93	25250.88	231340	0	40
2025.11.27	25264.88	25277.23	25224.03	25237.63	79882	0	40
2025.11.28	25247.48	25443.53	25242.18	25420.33	66418	0	40
2025.12.01	25457.88	25477.78	25143.83	25347.58	278639	0	40
2025.12.02	25364.18	25620.23	25275.48	25552.23	239983	0	40
2025.12.03	25579.98	25638.93	25373.38	25598.58	205057	0	40
2025.12.04	25607.98	25687.48	25445.33	25585.38	213933	0	40
2025.12.05	25596.58	25826.18	25538.98	25696.38	198426	0	40
2025.12.08	25732.08	25824.03	25529.43	25668.93	193018	0	40
2025.12.09	25673.48	25701.03	25526.73	25645.18	185007	0	40
2025.12.10	25653.88	25836.83	25498.83	25772.78	206184	0	40
2025.12.11	25753.38	25836.48	25356.88	25808.73	240978	0	40
2025.12.12	25690.48	25708.58	25101.93	25189.73	227153	0	40
2025.12.15	25214.68	25394.78	25020.83	25076.73	231578	0	40
2025.12.16	25091.18	25177.33	24810.08	25070.83	282678	0	40
2025.12.17	25084.68	25257.93	24653.53	24724.93	237319	0	40
2025.12.18	24760.58	25177.03	24669.28	24976.18	240689	0	40
2025.12.19	24997.88	25362.43	24969.08	25352.28	210543	0	40
2025.12.22	25415.38	25557.43	25393.43	25463.98	154950	0	40
2025.12.23	25469.78	25589.78	25375.78	25577.38	142166	0	40
2025.12.24	25577.88	25665.63	25551.78	25642.33	76814	0	40
2025.12.26	25655.03	25713.63	25613.53	25638.38	111162	0	40
2025.12.29	25654.23	25679.43	25436.03	25528.98	166505	0	40
2025.12.30	25530.23	25581.43	25457.13	25464.38	139225	0	40
2025.12.31	25475.43	25506.68	25322.73	25326.43	124165	0	40
2026.01.02	25268.93	25592.53	25075.23	25205.18	201617	0	40
2026.01.05	25248.58	25525.83	25225.08	25394.08	205738	0	40
2026.01.06	25404.88	25651.63	25345.48	25644.68	176762	0	40
2026.01.07	25639.98	25815.63	25543.33	25655.08	170860	0	40
2026.01.08	25670.08	25671.58	25392.83	25540.23	209581	0	40
2026.01.09	25546.88	25811.93	25444.33	25759.58	194383	0	40
2026.01.12	25768.28	25851.63	25464.88	25772.23	204242	0	40
2026.01.13	25776.18	25879.68	25639.83	25734.98	208329	0	40
2026.01.14	25744.08	25762.78	25262.18	25441.18	244900	0	40
2026.01.15	25435.58	25792.23	25402.38	25542.28	240251	0	40
2026.01.16	25561.68	25734.83	25436.43	25525.98	173352	0	40
2026.01.19	25259.28	25322.98	25081.23	25247.23	181492	0	40
2026.01.20	25241.58	25284.93	24943.38	24997.63	306288	0	40
2026.01.21	25001.78	25507.83	24882.08	25363.23	271340	0	40
2026.01.22	25407.88	25598.08	25341.88	25482.08	241633	0	40
2026.01.23	25466.08	25710.83	25405.88	25544.13	231544	0	40
2026.01.26	25313.38	25800.93	25279.88	25727.88	227281	0	40
2026.01.27	25724.88	25987.23	25711.78	25979.28	167024	0	40
2026.01.28	26005.08	26220.08	25869.38	26139.78	214013	0	40
2026.01.29	26154.58	26167.68	25410.53	25866.48	290405	0	40
2026.01.30	25884.38	25897.38	25451.63	25526.68	331315	0	40
2026.02.02	25401.48	25834.13	25071.28	25760.23	323984	0	40
2026.02.03	25775.58	25915.93	25111.58	25308.38	280450	0	40
2026.02.04	25289.48	25409.53	24679.23	25015.48	291923	0	40
2026.02.05	24978.78	25068.98	24307.98	24329.08	337447	0	40
